trace	ok	max_rhat	min_ess_bulk	divergences	chains	draws	n_par	worst_par	family	constrained	bauer_commit	size_gb
chf-affine-mem	True	1.0	2725.0	18	4	3000	16	chf_mem_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6137205325067043
chf-affine-n1	False	1.17	17.0	10	4	3000	16	chf_n2_affine_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.613495733588934
chf-affine-n1n2	False	1.05	66.0	37	4	3000	16	chf_n2_affine_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6248119110241532
chf-affine-n2	False	1.02	216.0	10	4	3000	16	chf_n2_affine_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6134970346465707
chf-affine-null	False	1.18	15.0	9	4	3000	16	chf_perc_affine_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5123017802834511
chf-affine-nullind	False	1.03	149.0	15	4	3000	16	chf_safe_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5122445560991764
chf-affine-perc	True	1.0	1529.0	6	4	3000	16	chf_mem_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6138738226145506
chf-affine-percmem	True	1.0	1444.0	3	4	3000	16	chf_mem_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6262882025912404
chf-spl5-mem	True	1.0	2805.0	6	4	3000	28	chf_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.669905805028975
chf-spl5-n1	True	1.0	1634.0	8	4	3000	28	chf_n1_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6695120772346854
chf-spl5-n1n2	True	1.01	529.0	0	4	3000	28	chf_n2_spl5_sd20_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.7008029315620661
chf-spl5-n2	True	1.01	588.0	2	4	3000	28	chf_n1_spl5_sd13_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6695968201383948
chf-spl5-null	True	1.0	2533.0	0	4	3000	28	chf_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5497762644663453
chf-spl5-nullind	True	1.0	790.0	3	4	3000	28	chf_n1_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5493374476209283
chf-spl5-perc	True	1.0	2286.0	0	4	3000	28	chf_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6698718657717109
chf-spl5-percmem	True	1.0	1984.0	1	4	3000	28	chf_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.7010795595124364
chf-weber-mem	True	1.0	1292.0	346	4	3000	12	chf_mem_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5899718813598156
chf-weber-n1	True	1.0	2146.0	239	4	3000	12	chf_n1_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5915984092280269
chf-weber-n1n2	True	1.0	1949.0	158	4	3000	12	chf_n1_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5994374509900808
